tract_geoid,year,sales_n,entity_n,port10_n,port25_n
72113070503,2011,23,0,0,0
72113070503,2012,36,1,0,0
72113070503,2013,37,0,0,0
72113070503,2014,21,0,0,0
72113070503,2015,20,0,0,0
72113070503,2016,33,0,0,0
72113070503,2017,29,0,0,0
72113070503,2018,36,3,1,0
72113070503,2019,39,1,0,0
72113070503,2020,34,1,0,0
72113070503,2021,67,3,0,0
72113070503,2022,47,7,0,0
72113070503,2023,68,13,0,0
72113070503,2024,50,6,0,0
72113070503,2025,53,8,1,0
72113070503,2026,22,3,0,0
72113070513,2000,10,0,0,0
72113070513,2001,8,0,0,0
72113070513,2002,9,0,0,0
72113070513,2003,13,0,0,0
72113070513,2004,15,0,0,0
72113070513,2005,19,0,0,0
72113070513,2006,10,0,0,0
72113070513,2007,9,0,0,0
72113070513,2008,10,0,0,0
72113070513,2009,8,0,0,0
72113070513,2010,5,0,0,0
72113070513,2011,14,0,0,0
72113070513,2012,14,0,0,0
72113070513,2013,11,0,0,0
72113070513,2014,15,0,0,0
72113070513,2015,3,0,0,0
72113070513,2016,9,0,0,0
72113070513,2017,4,0,0,0
72113070513,2018,5,0,0,0
72113070513,2019,13,0,0,0
72113070513,2020,14,0,0,0
72113070513,2021,16,1,0,0
72113070513,2022,15,0,0,0
72113070513,2023,19,0,0,0
72113070513,2024,23,0,0,0
72113070513,2025,11,0,0,0
72113070513,2026,3,0,0,0
72113070514,2000,9,0,0,0
72113070514,2001,13,0,0,0
72113070514,2002,10,0,0,0
72113070514,2003,11,0,0,0
72113070514,2004,13,0,0,0
72113070514,2005,11,0,0,0
72113070514,2006,10,0,0,0
72113070514,2007,11,0,0,0
72113070514,2008,10,0,0,0
72113070514,2009,15,0,0,0
72113070514,2010,14,0,0,0
72113070514,2011,9,0,0,0
72113070514,2012,13,0,0,0
72113070514,2013,10,0,0,0
72113070514,2014,4,0,0,0
72113070514,2015,5,0,0,0
72113070514,2016,13,0,0,0
72113070514,2017,8,0,0,0
72113070514,2018,13,0,0,0
72113070514,2019,14,0,0,0
72113070514,2020,12,0,0,0
72113070514,2021,17,1,0,0
72113070514,2022,15,0,0,0
72113070514,2023,22,1,0,0
72113070514,2024,14,0,0,0
72113070514,2025,23,1,1,0
72113070514,2026,7,0,0,0
72113070522,2000,14,0,0,0
72113070522,2001,10,0,0,0
72113070522,2002,22,1,0,0
72113070522,2003,20,0,0,0
72113070522,2004,19,0,0,0
72113070522,2005,27,0,0,0
72113070522,2006,22,0,0,0
72113070522,2007,16,1,0,0
72113070522,2008,14,0,0,0
72113070522,2009,14,1,1,0
72113070522,2010,17,0,0,0
72113070522,2011,23,0,0,0
72113070522,2012,14,0,0,0
72113070522,2013,18,0,0,0
72113070522,2014,19,0,0,0
72113070522,2015,17,2,2,0
72113070522,2016,12,0,0,0
72113070522,2017,18,2,0,0
72113070522,2018,33,9,9,0
72113070522,2019,17,3,0,0
72113070522,2020,19,3,2,0
72113070522,2021,18,1,0,0
72113070522,2022,35,0,0,0
72113070522,2023,28,2,1,0
72113070522,2024,20,4,3,0
72113070522,2025,36,10,1,0
72113070522,2026,8,1,0,0
72113070800,2000,4,0,0,0
72113070800,2001,2,0,0,0
72113070800,2002,4,0,0,0
72113070800,2003,9,0,0,0
72113070800,2004,2,0,0,0
72113070800,2005,11,0,0,0
72113070800,2006,6,0,0,0
72113070800,2007,7,0,0,0
72113070800,2008,5,0,0,0
72113070800,2009,3,0,0,0
72113070800,2010,1,0,0,0
72113070800,2011,4,0,0,0
72113070800,2012,3,0,0,0
72113070800,2013,7,0,0,0
72113070800,2014,1,0,0,0
72113070800,2015,1,0,0,0
72113070800,2016,5,0,0,0
72113070800,2017,4,0,0,0
72113070800,2018,1,0,0,0
72113070800,2019,2,0,0,0
72113070800,2020,2,0,0,0
72113070800,2021,6,0,0,0
72113070800,2022,12,0,0,0
72113070800,2023,14,0,0,0
72113070800,2024,4,0,0,0
72113070800,2025,13,0,0,0
72113070800,2026,4,0,0,0
72113070900,2000,2,0,0,0
72113070900,2001,4,0,0,0
72113070900,2002,5,0,0,0
72113070900,2003,5,0,0,0
72113070900,2004,9,0,0,0
72113070900,2005,1,0,0,0
72113070900,2006,6,0,0,0
72113070900,2007,9,1,0,0
72113070900,2008,5,0,0,0
72113070900,2009,6,0,0,0
72113070900,2010,10,0,0,0
72113070900,2011,3,0,0,0
72113070900,2012,3,0,0,0
72113070900,2013,9,0,0,0
72113070900,2014,5,0,0,0
72113070900,2016,3,0,0,0
72113070900,2017,3,0,0,0
72113070900,2018,7,1,0,0
72113070900,2019,3,0,0,0
72113070900,2020,3,1,0,0
72113070900,2021,6,0,0,0
72113070900,2022,7,0,0,0
